id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
207,0.73,0.5,4,224,4,1,0,0,support,low
208,0.98,0.96,5,139,3,0,0,0,support,medium
209,0.4,0.47,5,173,5,0,0,0,technical,medium
210,0.76,0.83,4,246,2,0,0,0,sales,low
211,0.16,0.52,3,100,4,0,0,0,support,medium
212,0.44,0.5,2,154,3,0,1,0,accounting,medium
213,0.38,0.64,5,160,3,0,0,0,support,high
214,0.14,0.55,6,175,5,0,1,0,IT,medium
215,0.67,0.54,2,141,2,0,0,0,sales,low
216,0.78,0.97,4,142,3,0,0,0,sales,low
217,0.38,0.47,2,144,3,0,1,0,support,low
218,0.37,0.74,2,197,3,0,0,0,product_mng,low
219,0.11,0.84,6,251,4,0,1,0,technical,low
220,0.48,0.8,5,235,2,0,0,0,support,medium
221,0.87,0.55,4,197,3,0,0,0,technical,high
222,0.45,0.5,2,150,3,0,1,0,support,low
223,0.87,0.54,3,268,3,0,0,0,support,medium
224,0.89,0.86,3,261,4,0,0,0,sales,low
225,0.52,0.67,4,182,3,0,0,0,sales,medium
226,0.29,0.91,4,183,4,0,0,0,RandD,low
227,0.18,0.73,6,225,4,0,0,0,product_mng,low
228,0.92,0.59,4,190,5,0,0,0,technical,high
229,0.44,0.5,2,148,3,0,1,0,accounting,medium
230,0.92,0.6,5,236,3,1,0,1,sales,medium
231,0.41,0.48,2,136,3,0,1,0,marketing,medium
232,0.16,0.64,6,143,5,1,0,0,support,low
233,0.52,0.92,3,268,3,0,0,0,sales,low
234,0.54,0.65,3,202,3,0,0,0,marketing,low
235,0.85,0.77,3,146,4,0,0,0,accounting,low
236,0.39,0.48,2,151,3,0,1,0,support,low
237,0.76,0.81,4,242,2,0,0,0,IT,low
238,0.13,0.59,5,160,5,0,0,0,technical,medium
239,0.66,0.65,5,161,3,0,0,0,support,medium
240,0.98,0.61,5,239,3,0,0,0,IT,low
241,0.76,0.81,4,242,2,0,0,0,IT,low
242,0.4,0.48,2,139,3,0,1,0,technical,low
243,0.82,0.58,5,263,8,0,0,0,IT,medium
244,0.38,0.49,2,132,3,0,1,0,support,low
245,0.72,0.51,3,254,2,0,0,0,sales,low
246,0.7,0.69,5,154,2,0,0,0,sales,low
247,0.7,0.87,3,158,2,0,0,0,support,medium
248,0.89,0.55,4,159,2,0,0,0,sales,medium
249,0.82,0.87,3,206,2,0,0,0,support,low
250,0.58,0.5,3,144,3,0,0,0,sales,medium
251,0.14,0.93,4,180,4,0,0,0,marketing,high
252,0.81,0.69,5,109,2,0,0,0,IT,high
253,0.18,0.55,5,217,4,0,0,0,IT,low
254,0.36,0.52,2,137,3,0,1,0,marketing,low
255,0.65,0.57,3,137,4,1,0,0,sales,high
256,0.68,1.0,4,185,2,1,0,0,sales,low
257,0.57,0.39,4,132,3,0,0,0,product_mng,high
258,0.98,0.87,5,151,6,0,0,0,IT,medium
259,0.62,0.49,3,172,3,0,0,0,sales,medium
260,0.86,0.94,3,151,2,0,0,0,technical,low
261,0.46,0.49,2,138,3,0,1,0,support,low
262,0.11,0.96,6,301,5,0,1,0,technical,low
263,0.38,0.54,2,135,3,0,1,0,technical,medium
264,0.75,0.41,5,196,4,0,0,0,sales,low
265,0.41,0.77,4,231,6,0,0,0,technical,low
266,0.73,0.72,4,233,2,0,0,0,sales,low
267,0.21,0.58,7,203,5,0,1,0,support,medium
268,0.99,0.59,3,163,2,0,0,0,sales,medium
269,0.53,0.37,3,180,3,0,0,0,support,medium
270,0.51,0.52,5,261,3,1,0,0,RandD,low
271,0.75,0.97,5,243,6,0,1,0,technical,medium
272,0.58,0.63,4,190,2,0,0,0,sales,medium
273,0.77,0.83,3,175,3,0,0,1,sales,medium
274,0.9,0.97,4,258,5,0,1,0,accounting,low
275,0.38,0.55,2,158,3,0,1,0,support,low
276,0.56,0.79,4,197,2,0,0,0,support,medium
277,0.98,0.49,4,214,3,0,0,0,technical,low
278,0.78,0.74,4,261,3,1,0,0,product_mng,medium
279,0.63,0.64,3,180,3,0,0,0,accounting,low
280,0.2,0.59,6,113,3,0,0,0,management,high
281,0.48,0.53,3,211,4,0,0,0,technical,low
282,0.91,0.93,4,184,3,0,0,0,technical,low
283,0.48,0.69,4,245,3,0,0,0,management,medium
284,0.11,0.79,6,292,4,0,1,1,technical,low
285,0.81,0.83,5,269,6,0,1,0,technical,medium
286,0.99,0.94,5,151,3,0,0,0,product_mng,medium
287,0.92,0.54,5,203,3,0,0,0,IT,medium
288,0.91,0.87,4,235,5,0,1,0,technical,low
289,0.84,0.85,5,260,5,0,1,0,support,low
290,0.21,0.7,3,238,8,0,0,0,technical,medium
291,0.62,0.53,3,141,3,0,0,0,sales,low
292,0.81,0.97,5,243,5,0,1,0,support,medium
293,0.33,0.51,2,166,3,0,0,0,support,medium
294,0.95,0.58,5,169,2,0,0,0,support,low
295,0.96,0.61,4,158,6,0,0,0,technical,medium
296,0.65,0.37,3,170,6,0,0,0,IT,low
297,0.43,0.5,2,127,3,1,1,0,sales,medium
298,0.11,0.86,6,286,4,0,1,0,support,low
299,0.64,0.64,4,242,3,0,0,0,sales,medium
300,0.88,0.85,3,220,3,0,0,0,management,medium
301,0.41,0.56,2,121,2,0,0,0,sales,medium
302,0.3,0.47,2,159,4,0,0,0,sales,medium
303,0.15,0.7,4,220,4,0,0,0,hr,low
304,0.78,0.81,3,222,2,0,1,0,sales,low
305,0.37,0.5,2,135,3,0,1,0,product_mng,low
306,0.16,0.88,4,201,6,0,0,0,sales,medium
307,1.0,0.66,4,173,2,0,0,0,support,medium
308,0.63,0.67,4,149,3,1,0,0,sales,medium
309,0.4,0.57,2,151,3,0,1,0,support,low
310,0.15,0.81,3,191,5,0,0,0,management,medium
311,0.77,0.8,3,147,3,0,0,0,IT,low
312,0.87,0.94,4,256,2,0,0,0,support,medium
313,0.14,0.79,5,271,4,0,0,0,management,high
314,0.81,0.97,4,212,2,0,0,0,sales,low
315,0.9,0.97,4,239,4,0,0,0,technical,medium
316,0.17,0.78,6,284,4,0,0,0,IT,medium
317,0.9,0.55,3,260,3,0,0,0,sales,medium
318,0.71,0.54,4,188,6,0,0,0,technical,low
319,0.95,0.5,4,186,3,1,0,0,sales,low
320,0.49,0.6,3,191,3,1,0,0,RandD,high
321,0.66,0.66,4,273,4,1,0,0,IT,low
322,0.82,0.66,4,150,3,0,0,0,technical,low
323,0.96,1.0,4,167,2,1,0,0,technical,low
324,0.86,0.82,4,252,4,0,0,0,support,low
325,0.52,0.43,3,176,3,0,0,0,support,low
326,0.87,0.64,5,234,2,1,0,0,IT,medium
327,0.86,0.82,4,212,2,0,0,0,product_mng,medium
328,0.89,0.57,4,176,4,0,0,0,support,high
329,0.38,0.47,3,189,5,0,0,0,support,medium
330,0.09,0.8,6,301,5,0,1,0,IT,medium
331,0.72,0.75,4,211,4,0,0,0,sales,medium
332,0.46,0.55,2,145,3,0,1,0,technical,low
333,0.72,0.56,4,176,2,0,0,0,hr,medium
334,0.24,0.65,6,194,3,0,0,0,technical,low
335,0.53,0.85,5,268,3,1,0,0,sales,medium
336,0.84,0.62,5,217,3,0,0,0,sales,low
337,0.98,0.68,5,171,3,0,0,0,management,high
338,0.84,0.84,5,163,3,0,0,0,technical,low
339,0.61,0.97,6,286,4,0,0,0,product_mng,medium
340,0.41,0.5,2,153,3,0,1,0,technical,medium
341,0.43,0.6,3,138,3,0,0,1,RandD,medium
342,0.42,0.54,2,156,3,0,1,0,sales,medium
343,0.69,0.82,3,262,5,1,0,0,IT,medium
344,0.77,0.95,3,192,4,1,0,0,RandD,medium
345,0.45,0.75,3,122,3,0,0,0,support,high
346,0.91,0.58,3,220,7,0,0,1,sales,low
347,0.44,0.66,3,162,2,0,0,0,sales,medium
348,0.92,0.68,4,138,7,0,0,0,sales,medium
349,0.63,0.59,3,155,3,1,0,0,sales,medium
350,0.73,0.93,5,229,5,0,1,0,technical,medium
351,0.11,0.77,7,273,4,0,1,0,management,low
352,0.48,0.93,3,150,10,0,0,0,technical,low
353,0.64,0.48,4,267,2,1,0,0,sales,low
354,0.37,0.49,3,177,3,0,0,0,marketing,high
355,0.29,0.4,6,205,3,0,0,0,technical,medium
356,0.97,0.66,4,193,4,0,0,0,accounting,low
357,0.85,0.74,3,157,3,0,0,0,technical,medium
358,0.45,0.57,2,134,3,0,1,0,hr,low
359,0.21,0.78,4,218,6,0,0,0,technical,low
360,0.4,0.5,2,130,3,0,1,0,sales,low
361,0.92,0.94,2,224,2,0,0,0,sales,low
362,0.77,0.58,4,202,3,0,0,0,sales,medium
363,0.58,0.9,3,209,2,0,0,0,management,high
364,0.66,0.92,4,229,2,0,0,0,technical,low
365,0.82,0.85,5,248,5,0,1,0,sales,low
366,0.44,0.66,3,161,3,0,0,0,IT,medium
367,0.42,0.53,3,199,4,0,1,0,technical,medium
368,0.91,0.78,3,269,3,1,0,0,technical,high
369,0.24,0.62,5,199,4,0,0,0,sales,low
370,0.43,0.53,2,146,3,0,1,0,marketing,low
371,0.75,0.89,5,154,4,0,0,0,hr,low
372,0.37,0.61,3,186,2,0,0,0,IT,low
373,0.99,0.49,4,270,2,0,0,0,hr,low
374,0.61,0.47,2,253,3,0,1,0,sales,low
375,0.36,0.56,2,159,3,0,1,0,sales,medium
376,0.5,0.65,4,266,3,1,0,0,sales,medium
377,0.91,0.91,4,262,6,0,1,0,support,low
378,0.85,0.78,4,251,3,0,0,0,sales,medium
379,0.52,0.37,2,118,2,0,0,0,product_mng,high
380,0.44,0.51,2,145,3,0,1,0,support,low
381,0.1,0.95,7,289,4,0,1,0,IT,low
382,0.44,0.57,2,139,3,0,1,0,technical,low
383,0.85,1.0,4,225,5,0,1,0,technical,low
384,0.83,0.61,5,257,2,0,0,0,hr,low
385,0.7,0.7,3,224,3,0,0,0,sales,low
386,0.74,0.79,5,121,5,0,0,1,management,high
387,0.83,0.85,5,237,5,0,1,0,marketing,medium
388,0.93,0.86,4,219,3,0,0,0,accounting,low
389,0.48,0.61,3,146,3,0,0,0,marketing,medium
390,0.4,0.48,2,142,3,0,1,0,support,low
391,0.11,0.77,6,274,4,0,1,0,support,medium
392,0.88,0.91,4,233,4,0,0,0,technical,high
393,0.65,0.95,2,180,2,0,0,0,product_mng,low
394,0.76,0.8,5,217,2,0,0,0,sales,medium
395,0.71,0.63,3,254,3,1,0,0,sales,high
396,0.77,0.79,3,200,4,0,0,0,hr,medium
397,0.45,0.54,2,135,3,0,1,0,sales,low
398,0.77,0.94,5,226,6,0,1,0,support,low
399,0.53,0.7,4,223,3,0,0,0,sales,low
400,0.59,0.69,3,146,3,0,0,0,product_mng,medium
401,0.61,0.42,3,104,2,0,0,0,hr,medium
402,0.83,0.98,4,249,5,0,1,0,support,low
403,0.81,0.85,4,251,6,0,1,0,hr,medium
404,0.5,0.73,3,154,10,0,0,0,IT,medium
405,0.87,0.93,4,199,3,0,0,0,technical,low
406,0.41,0.46,2,128,3,0,1,0,accounting,low
407,0.79,0.91,4,200,3,0,0,0,sales,medium
408,0.69,0.55,3,172,2,0,0,0,technical,medium
409,0.3,0.47,6,141,6,0,0,0,sales,low
410,0.51,0.79,3,137,3,0,0,0,sales,medium
411,0.77,0.97,3,215,2,0,0,0,hr,low
412,1.0,0.94,3,257,4,0,0,0,support,medium
413,0.42,0.51,2,136,3,0,1,0,technical,medium
414,0.51,0.87,3,180,4,0,0,0,hr,low
415,0.68,0.72,4,274,3,0,0,0,technical,medium
416,0.64,0.61,3,263,3,0,0,0,support,low
417,0.98,0.9,4,247,2,0,0,0,technical,medium
418,0.91,0.82,4,238,2,0,0,0,management,low
419,0.62,0.49,4,174,3,0,0,0,technical,low
420,0.91,0.77,3,195,7,0,0,0,sales,medium
421,0.54,0.98,3,197,3,0,0,0,technical,low
422,1.0,0.93,3,264,4,0,0,0,support,medium
423,0.93,1.0,3,148,4,0,0,0,sales,low
424,0.54,0.97,4,258,3,0,0,0,support,low
425,0.71,0.69,3,172,3,0,0,0,sales,low
426,0.65,0.59,3,167,2,0,0,0,technical,high
427,0.85,0.76,3,197,5,0,0,0,IT,medium
428,0.84,0.99,4,267,5,0,1,0,product_mng,low
429,0.54,0.94,5,229,3,1,0,0,product_mng,low
430,0.81,0.95,3,212,3,0,0,0,technical,medium
431,0.98,0.7,3,255,2,1,0,0,marketing,low
432,0.8,0.77,4,194,3,0,0,0,accounting,medium
433,0.9,0.6,3,255,4,1,0,0,marketing,low
434,0.38,0.51,2,159,3,0,1,0,sales,low
435,0.75,0.89,5,276,5,0,1,0,RandD,low
436,0.6,0.91,4,214,2,0,0,0,IT,medium
437,0.57,0.82,4,269,2,0,0,0,technical,medium
438,1.0,0.89,4,152,3,0,0,0,technical,low
439,0.31,0.86,3,266,7,0,0,0,sales,low
440,0.38,0.5,2,132,3,0,1,0,accounting,low
441,0.93,0.63,4,143,3,1,0,0,product_mng,low
442,0.94,0.82,3,246,3,0,0,0,support,low
443,0.28,0.77,3,221,3,0,0,0,sales,high
444,0.6,0.62,5,274,3,0,0,0,management,medium
445,0.42,0.48,2,132,3,0,1,0,hr,low
446,0.32,0.4,6,162,5,0,0,0,technical,low
447,0.78,0.84,4,173,3,0,0,0,support,low
448,0.42,0.49,2,139,3,0,1,0,hr,low
449,0.67,0.65,5,242,3,0,0,0,support,low
450,0.62,0.72,5,180,3,0,0,0,accounting,low
451,0.56,0.92,3,232,2,0,0,0,support,medium
452,0.84,0.79,6,140,2,0,0,0,accounting,high
453,0.84,0.6,3,186,3,1,0,0,support,medium
454,0.77,0.83,3,175,3,0,0,1,sales,medium
455,0.1,0.83,6,278,4,0,1,0,marketing,medium
456,0.74,0.9,4,226,5,0,1,0,sales,medium
457,0.67,0.71,5,265,2,0,0,1,sales,medium
458,0.28,0.51,3,124,3,0,0,0,technical,low
459,0.88,0.59,6,243,4,0,0,0,RandD,high
460,0.64,0.64,3,234,3,1,0,0,sales,high
461,0.94,0.8,4,266,3,1,0,0,support,medium
462,0.44,0.52,2,141,3,0,1,0,management,low
463,0.36,0.42,2,192,2,0,0,0,technical,low
464,0.45,0.5,2,157,3,0,1,0,marketing,medium
465,0.1,0.96,7,301,4,0,1,0,hr,low
466,0.98,0.5,3,198,3,0,0,0,marketing,medium
467,0.93,0.7,5,231,7,0,0,1,sales,high
468,0.39,0.57,2,158,3,0,1,0,sales,low
469,0.96,0.91,5,179,2,0,0,0,support,high
470,0.12,0.61,6,257,3,0,0,0,sales,medium
471,0.1,0.93,6,288,4,0,1,0,sales,medium
472,0.39,0.54,2,132,3,0,1,0,support,low
473,0.98,0.72,3,252,2,0,0,0,IT,low
474,0.96,0.53,5,224,4,0,0,0,sales,low
475,0.09,0.96,6,268,4,0,1,0,technical,medium
476,0.69,0.69,3,236,4,0,0,0,product_mng,medium
477,0.8,0.52,3,147,3,1,0,0,technical,medium
478,0.39,0.56,2,156,3,0,1,0,IT,low
479,0.78,0.89,3,253,3,0,0,0,support,high
480,0.42,0.5,2,155,3,0,1,0,hr,low
481,0.65,0.75,3,194,4,1,0,0,sales,low
482,0.77,0.55,3,225,3,0,0,0,sales,medium
483,0.23,0.96,2,234,4,0,0,0,sales,medium
484,0.92,0.66,4,113,3,0,0,0,technical,low
485,0.92,0.87,4,229,6,0,1,0,sales,low
486,0.95,0.49,4,146,6,1,0,0,IT,low
487,0.14,0.66,5,281,4,1,0,0,accounting,medium
488,0.41,0.47,2,145,3,0,1,0,technical,low
489,0.53,0.65,2,189,2,1,0,0,IT,low
490,0.4,0.54,2,148,3,0,1,0,support,low
491,0.72,0.7,4,172,3,0,0,0,IT,medium
492,0.56,0.66,4,264,3,0,0,0,sales,low
493,0.83,0.59,5,160,4,0,0,0,product_mng,low
494,0.8,0.96,5,124,3,0,0,0,sales,low
495,0.73,0.88,5,233,4,1,0,0,sales,medium
496,0.4,0.5,2,128,3,0,1,0,sales,low
497,0.97,0.89,4,208,2,1,0,0,technical,low
498,0.68,0.72,3,213,3,0,0,1,marketing,medium
499,0.65,0.63,4,143,8,0,0,0,management,medium
500,0.83,0.93,4,261,2,0,0,0,support,medium
501,0.15,0.67,6,209,5,0,0,0,technical,low
502,0.79,0.92,3,204,3,0,0,0,support,medium
503,0.89,0.81,3,186,3,0,0,0,product_mng,medium
504,0.1,0.81,6,309,4,0,1,0,technical,low
